,날짜,평균  기온,최고  기온,최저  기온,강수량(mm),신적설(cm),평균  풍속(m/s),평균  습도  (%),운량(1/10),일조  시간  (Hr),날씨
0,2018년 01월01일 (월),-1.3,3.8,-5.1,-,-,1.5,39,1,8.3,맑음
1,2018년 01월02일 (화),-1.8,1.8,-4.3,-,-,1.8,42,2.2,7.9,구름조금
2,2018년 01월03일 (수),-4.7,-0.4,-7.1,-,-,2.1,42,3.6,8.6,구름조금
3,2018년 01월04일 (목),-4.7,-0.7,-8.7,-,-,1.4,43,6.5,6.2,구름많음
4,2018년 01월05일 (금),-3,1.6,-5.6,-,-,1.7,48,3.6,8.2,구름조금
5,2018년 01월06일 (토),-2.8,2.9,-6.8,-,-,1.4,46,0,8.8,맑음
6,2018년 01월07일 (일),-0.8,2.8,-5.7,-,-,0.8,42,7.5,3.1,구름많음
7,2018년 01월08일 (월),1.3,4,-1.2,0.9,1,1.9,52,9,0.5,흐림/눈/안개
8,2018년 01월09일 (화),-4.2,-1.2,-6.1,0.5,0.5,2.8,59,3.5,8.4,구름조금/눈
9,2018년 01월10일 (수),-7.5,-4.8,-10.3,0.3,0.3,3,52,0.9,8.8,맑음/눈
10,2018년 01월11일 (목),-11.1,-7.4,-13.6,-,-,2.6,50,0.4,8.7,맑음
11,2018년 01월12일 (금),-10.2,-5.4,-15.3,0,-,1.8,35,2.2,8.8,구름조금/눈
12,2018년 01월13일 (토),-4.4,-1.2,-6.6,0.4,0.6,0.8,67,8.2,0.9,흐림/눈/안개
13,2018년 01월14일 (일),0.6,5.4,-4.4,-,-,1.1,64,7,5.6,구름많음/안개
14,2018년 01월15일 (월),4.7,7.7,1.8,0.2,-,1.5,64,7.6,6.5,구름많음/비/안개
15,2018년 01월16일 (화),3.5,6.8,0.1,0,-,0.7,59,9.8,0.5,흐림/비/안개
16,2018년 01월17일 (수),4.5,8.7,2.4,-,-,1.3,64,7.4,4.8,구름많음/안개
17,2018년 01월18일 (목),2.1,4.5,0.3,0,-,1.9,60,8.6,2.4,흐림/비/안개/진눈개비
18,2018년 01월19일 (금),1,5.5,-2.5,-,-,1.6,43,3.8,8.7,구름조금
19,2018년 01월20일 (토),2.2,6.9,-1,-,-,1.6,58,5.1,5.3,구름많음/안개
20,2018년 01월21일 (일),0.4,5.5,-3.7,-,-,1.1,37,2,8.2,구름조금/안개
21,2018년 01월22일 (월),0.2,4,-5.3,3.3,1,1.5,57,9.4,0.7,흐림/눈/비/안개/진눈개비
22,2018년 01월23일 (화),-11.7,-5.3,-14.6,-,-,3.7,42,0.2,9.1,맑음
23,2018년 01월24일 (수),-14.2,-10.7,-16.3,-,-,3.4,32,0,8.9,맑음
24,2018년 01월25일 (목),-14,-9.5,-16.4,-,-,2.8,33,3.6,8.3,구름조금
25,2018년 01월26일 (금),-14.8,-10.7,-17.8,-,-,2.5,35,0,7.9,맑음
26,2018년 01월27일 (토),-9.9,-3.5,-15.9,-,-,1.6,37,1.8,9,맑음
27,2018년 01월28일 (일),-6.3,-1.2,-9.3,-,-,2.6,36,3.2,7.6,구름조금
28,2018년 01월29일 (월),-8.5,-4.7,-11.6,-,-,2.7,35,0.1,8.9,맑음
29,2018년 01월30일 (화),-5.3,-0.8,-11.4,2.9,3.5,1.2,62,5.8,5.6,구름많음/눈
30,2018년 01월31일 (수),-2.6,0,-5.2,0,-,1.7,55,7.4,1.8,구름많음/눈/안개
31,2018년 02월01일 (목),-4,1.2,-8.8,-,-,1.6,44,0,9.1,맑음
32,2018년 02월02일 (금),-2.4,3.8,-7.6,-,-,1.7,51,1.9,8.8,맑음
33,2018년 02월03일 (토),-7.3,-2.1,-10.4,0.5,0.3,3.8,47,1.2,9.1,맑음/눈
34,2018년 02월04일 (일),-9.5,-5.2,-12.8,-,-,3.1,41,0,9.1,맑음
35,2018년 02월05일 (월),-9.4,-5.1,-11.8,-,-,3.1,38,0.1,9.3,맑음
36,2018년 02월06일 (화),-10.1,-5.8,-12.8,-,-,3,37,1.1,9,맑음
37,2018년 02월07일 (수),-8,-1.6,-13.4,-,-,1.6,40,1,9.2,맑음
38,2018년 02월08일 (목),-4.4,2,-9.7,-,-,1.2,43,0.2,9.2,맑음
39,2018년 02월09일 (금),0.4,6.1,-5.3,-,-,1.1,44,9.1,2.2,흐림/안개
40,2018년 02월10일 (토),-0.5,3.2,-6.9,-,-,3.1,47,6.5,5.3,구름많음/안개
41,2018년 02월11일 (일),-6.1,-2.2,-9.5,0,-,2.7,43,3.5,6.6,구름조금/눈
42,2018년 02월12일 (월),-5.8,-1.8,-9.6,0,-,2.7,41,4.1,8.7,구름조금/눈
43,2018년 02월13일 (화),-0.9,4.3,-7.4,-,-,2.7,55,3.1,8.3,구름조금
44,2018년 02월14일 (수),3.5,8.7,-0.7,-,-,2.5,51,7.4,3.3,구름많음/안개
45,2018년 02월15일 (목),-0.7,4,-3.7,-,-,2.3,28,3.8,8.5,구름조금
46,2018년 02월16일 (금),-1.1,4.9,-5.5,-,-,2.1,40,3.2,9.7,구름조금
47,2018년 02월17일 (토),-3,1.4,-7.1,-,-,2.7,26,1.9,9,맑음
48,2018년 02월18일 (일),-0.5,5.2,-4.9,-,-,1.3,27,7.4,7.2,구름많음
49,2018년 02월19일 (월),1.8,6.8,-1.9,-,-,1.5,49,6.1,4.8,구름많음/안개
50,2018년 02월20일 (화),0.9,5.5,-2.4,-,-,2.5,41,5,8.3,구름많음/안개
51,2018년 02월21일 (수),-0.9,4.4,-4.5,-,-,2.3,32,1.6,9.8,맑음
52,2018년 02월22일 (목),1.3,5.4,-3.9,0.4,0.4,2.1,59,5.8,6.4,구름많음/천둥번개/눈
53,2018년 02월23일 (금),4.2,8.6,-0.3,3.7,3.7,1.9,81,7,4.8,구름많음/눈/안개
54,2018년 02월24일 (토),2.4,7.2,-1.1,-,-,2.2,49,6.1,7.6,구름많음/안개
55,2018년 02월25일 (일),1.9,7.9,-1.6,-,-,1.8,41,2.4,9.2,구름조금
56,2018년 02월26일 (월),3.1,10.4,-3.2,-,-,1.4,43,1.2,10.2,맑음/안개
57,2018년 02월27일 (화),4.2,6.9,0.6,-,-,0.9,49,8.5,0,흐림/안개
58,2018년 02월28일 (수),4.6,7.8,1.8,25,-,2.1,73,10,0,흐림/비/안개/진눈개비
59,2018년 03월01일 (목),-0.2,3,-4.3,0.5,-,3.6,62,4.4,8.7,구름조금/비/안개/진눈개비
60,2018년 03월02일 (금),-0.7,5.4,-6.7,-,-,1.6,34,2.4,10.3,구름조금
61,2018년 03월03일 (토),7.9,16.2,-0.1,0,-,1.6,38,4.1,10.1,구름조금/이슬비
62,2018년 03월04일 (일),9.8,11.9,7.6,11.5,-,1.3,89,10,0,흐림/비/안개/이슬비
63,2018년 03월05일 (월),5.5,11.4,1.3,3.5,-,1.8,68,5.4,7,구름많음/비
64,2018년 03월06일 (화),4.5,10.9,-1.1,-,-,1.6,47,2.1,10.6,구름조금
65,2018년 03월07일 (수),6.4,10.7,2.2,0.5,-,1.7,54,8.6,3,흐림/비
66,2018년 03월08일 (목),4.6,9.7,2.7,4,-,2.1,76,8.1,5.1,흐림/비/안개
67,2018년 03월09일 (금),4.5,9.6,1.4,-,-,1.5,63,5.9,5.1,구름많음/안개
68,2018년 03월10일 (토),4.6,9.7,0.7,-,-,2,66,4.6,7.9,구름조금/안개
69,2018년 03월11일 (일),6.4,12.2,2.7,-,-,1.9,51,2.8,9.8,구름조금/안개
70,2018년 03월12일 (월),8,15.5,2.2,-,-,1.4,46,3.2,7.5,구름조금/안개
71,2018년 03월13일 (화),12.4,18.8,5.2,-,-,1.8,61,5.9,6.6,구름많음/안개
72,2018년 03월14일 (수),17,22.1,13.6,-,-,2.3,59,6,7.9,구름많음
73,2018년 03월15일 (목),12.4,16.6,8.4,27,-,2,92,9.8,0,흐림/비/안개/이슬비
74,2018년 03월16일 (금),7.1,12.2,3.6,-,-,1.9,47,1.4,11,맑음
75,2018년 03월17일 (토),6.6,14,0.5,-,-,1.6,48,4.4,9.1,구름조금
76,2018년 03월18일 (일),8.2,12.5,5.4,0.5,-,1.2,56,9.8,0,흐림/비/안개
77,2018년 03월19일 (월),8,10.4,6.2,1,-,2.5,65,9.5,0,흐림/비
78,2018년 03월20일 (화),4.7,9.1,1.6,-,-,3.4,40,6.9,5.4,구름많음
79,2018년 03월21일 (수),2.1,5.3,1.1,1,-,1.7,64,9.9,0.4,흐림/눈/진눈개비
80,2018년 03월22일 (목),4.9,11.6,0.6,-,-,2.2,62,1.5,10.7,맑음/안개
81,2018년 03월23일 (금),6.1,12.5,1.8,-,-,2,55,4.6,8.7,구름조금/안개
82,2018년 03월24일 (토),7.6,13.1,4,-,-,2.2,62,6.2,7.2,구름많음/안개
83,2018년 03월25일 (일),9.6,16.9,4.6,-,-,1.8,66,3.4,9.5,구름조금/안개
84,2018년 03월26일 (월),10.9,18.1,5.3,-,-,1.9,65,3.6,9.1,구름조금/안개
85,2018년 03월27일 (화),13.3,20,7.7,-,-,1.6,61,2.6,7.9,구름조금/안개
86,2018년 03월28일 (수),14,19,9.4,-,-,2.2,66,4.2,5.2,구름조금/안개
87,2018년 03월29일 (목),15.4,21.1,11.8,-,-,1.7,66,4.9,7.5,구름조금/안개
88,2018년 03월30일 (금),14.8,21.9,9.8,-,-,1.8,56,0.5,9.9,맑음/안개
89,2018년 03월31일 (토),14,20.1,9.3,-,-,1.9,53,4.4,7.9,구름조금/안개
90,2018년 04월01일 (일),15.6,18.5,11.7,-,-,1.6,69,9.1,1.3,흐림/안개
91,2018년 04월02일 (월),18.4,23.7,14.9,-,-,2,64,6.1,5.6,구름많음/안개
92,2018년 04월03일 (화),17.8,21.2,14.9,0.1,-,2.2,73,9.1,0.8,흐림/비/안개
93,2018년 04월04일 (수),13.4,18.2,9.5,18.5,-,1.8,67,6.1,8,구름많음/비
94,2018년 04월05일 (목),7.6,9.5,6.7,10.5,-,2,91,9.9,0,흐림/비
95,2018년 04월06일 (금),5.8,8.6,3,6.5,-,3.1,72,8.9,4,흐림/비/안개/황사
96,2018년 04월07일 (토),4.2,8.6,1.4,0.2,-,4,46,5.1,9,구름많음/눈
97,2018년 04월08일 (일),3.9,7.9,0.6,3,-,1.7,60,6.1,3.3,구름많음/비/안개
98,2018년 04월09일 (월),7.9,15.4,0.1,-,-,1.1,58,2.6,9.5,구름조금/안개
99,2018년 04월10일 (화),15.1,21.9,6.9,5,-,3.6,51,6.2,6.3,구름많음/비
100,2018년 04월11일 (수),12.6,17.3,8.7,-,-,2.9,49,2.6,11.8,구름조금/안개
101,2018년 04월12일 (목),13.3,19.6,6.8,-,-,2.5,31,1.2,12,맑음
102,2018년 04월13일 (금),14.6,19.3,8.3,-,-,1.4,23,8.9,2.7,흐림
103,2018년 04월14일 (토),9,14.8,7.5,9,-,1.8,79,8.9,0.3,흐림/비/이슬비
104,2018년 04월15일 (일),9.5,14.2,5.6,-,-,2.4,66,3.1,8.6,구름조금/안개
105,2018년 04월16일 (월),11.6,18.8,4.9,-,-,1.5,42,1,12.3,맑음
106,2018년 04월17일 (화),12.9,20.1,6.8,-,-,1.9,38,0.9,12.2,맑음
107,2018년 04월18일 (수),12.4,19.3,6.2,-,-,1.9,35,0.4,12,맑음
108,2018년 04월19일 (목),14,20.5,7.4,-,-,1.9,39,0,11.4,맑음/안개
109,2018년 04월20일 (금),18.4,26.3,11,-,-,1.3,46,0.5,11.3,맑음/안개
110,2018년 04월21일 (토),18.7,25.6,12.3,-,-,1.8,32,3.4,12.4,구름조금/안개
111,2018년 04월22일 (일),15.5,21,10.7,15.5,-,1.2,57,9.5,0,흐림/비
112,2018년 04월23일 (월),9.3,10.7,8.4,59,-,2.2,94,10,0,흐림/비
113,2018년 04월24일 (화),12.1,16.1,8.9,3,-,1.4,63,8,0,흐림/비
114,2018년 04월25일 (수),14.6,23.3,5.7,-,-,1.5,38,0.8,12.4,맑음
115,2018년 04월26일 (목),14.9,22.1,10,-,-,2,52,3.9,11.7,구름조금/안개
116,2018년 04월27일 (금),15.7,23.3,9.7,-,-,1.7,53,0.1,11.3,맑음/안개
117,2018년 04월28일 (토),15.4,21.7,10.5,-,-,2,49,0,12.4,맑음/안개
118,2018년 04월29일 (일),16.1,22.9,9.4,-,-,1.9,43,2.4,11.6,구름조금/안개
119,2018년 04월30일 (월),19.2,25,14.1,-,-,1.6,62,5.5,9.2,구름많음/안개
120,2018년 05월01일 (화),20.4,23.3,17.8,0,-,1.4,73,8.5,3.2,흐림/안개/이슬비
121,2018년 05월02일 (수),15.1,19.7,8.7,12,-,2,90,9.9,0,흐림/비/안개
122,2018년 05월03일 (목),11.2,14.7,6.9,1,-,2.7,62,3.6,8.2,구름조금/비/천둥번개
123,2018년 05월04일 (금),14.1,20,8.8,-,-,2.6,46,1.4,12.4,맑음
124,2018년 05월05일 (토),18.3,24.6,11.6,-,-,2.8,47,6,11,구름많음
125,2018년 05월06일 (일),16.6,20.7,15,22,-,1,86,9.2,3.2,흐림/비
126,2018년 05월07일 (월),19.1,25.5,14,-,-,1.2,60,6,7.1,구름많음
127,2018년 05월08일 (화),17.4,22.9,11.6,-,-,1.7,51,3,11.3,구름조금
128,2018년 05월09일 (수),15.7,21.8,9.2,-,-,1.7,50,0.1,12.6,맑음
129,2018년 05월10일 (목),15.4,21.4,11.3,-,-,2.3,67,3.1,12.3,구름조금/안개
130,2018년 05월11일 (금),16.1,21.3,11.9,-,-,1.7,60,9.5,5.3,흐림/안개
131,2018년 05월12일 (토),14.2,16.1,11.8,32,-,1,89,10,0,흐림/비/안개
132,2018년 05월13일 (일),15.8,20,12.7,0.5,-,1.8,83,5.2,6.9,구름많음/안개/이슬비
133,2018년 05월14일 (월),18.2,24.5,11.9,-,-,1.4,71,6.6,7.2,구름많음/안개
134,2018년 05월15일 (화),23.2,29.3,15.4,0,-,1.1,56,8.5,8.9,흐림/비/안개
135,2018년 05월16일 (수),22.3,24.4,21.8,45,-,1.8,94,10,0,흐림/비/안개/이슬비/천둥번개
136,2018년 05월17일 (목),20.9,23.5,18.8,83,-,1.2,97,10,0,흐림/비/이슬비/천둥번개
137,2018년 05월18일 (금),16.3,19.3,12.2,6.5,-,1.3,87,8.2,0.4,흐림/비/이슬비
138,2018년 05월19일 (토),17.6,24.7,10.3,-,-,1.5,48,0,12.7,맑음
139,2018년 05월20일 (일),17,22.6,11.5,-,-,1.4,32,4.6,4.2,구름조금
140,2018년 05월21일 (월),17.8,23.7,11.3,-,-,1.4,44,3.9,8.8,구름조금
141,2018년 05월22일 (화),18.1,23.2,15.4,12.5,-,1.1,76,9,2.7,흐림/비
142,2018년 05월23일 (수),17.3,23.3,13.6,6.5,-,2.7,57,1.4,12.7,맑음/비
143,2018년 05월24일 (목),18.3,23.7,11.2,-,-,2.3,47,0.5,12.5,맑음/안개/황사
144,2018년 05월25일 (금),19.7,26.2,13.8,-,-,1.7,47,3.4,12.1,구름조금/안개
145,2018년 05월26일 (토),21.8,29.6,14,-,-,1.4,50,1,12.6,맑음/안개
146,2018년 05월27일 (일),20.3,24.7,17.3,-,-,1.9,47,7.2,4.7,구름많음
147,2018년 05월28일 (월),22.3,29.1,16.2,-,-,1.6,50,3.8,12.5,구름조금/안개
148,2018년 05월29일 (화),21.4,25.9,19.1,1,-,1.8,69,9.4,3.4,흐림/비/안개
149,2018년 05월30일 (수),20.2,24.7,15.8,0,-,1.8,70,4.6,9.8,구름조금/비/안개/이슬비
150,2018년 05월31일 (목),20.9,27.6,14.2,-,-,1.9,59,0.9,12.9,맑음/안개
151,2018년 06월01일 (금),23.8,30.2,17.5,-,-,2,50,0,12.9,맑음/안개
152,2018년 06월02일 (토),23.4,30.1,17.6,-,-,2,45,1.4,12.8,맑음/안개
153,2018년 06월03일 (일),24,30.8,16.9,-,-,1.7,39,4,12.9,구름조금
154,2018년 06월04일 (월),22.6,27.5,18.9,-,-,1.8,50,7.9,9.2,구름많음
155,2018년 06월05일 (화),23.7,29.2,17.7,-,-,1.7,53,1.4,11.4,맑음/안개
156,2018년 06월06일 (수),23,27.9,18.4,-,-,2.1,63,1,12.7,맑음/안개
157,2018년 06월07일 (목),22.2,29.4,17.8,-,-,2,69,4.5,9.4,구름조금/안개
158,2018년 06월08일 (금),21.9,27,18.5,-,-,2,68,5.5,7.1,구름많음/안개
159,2018년 06월09일 (토),23.7,30.1,18.9,0.5,-,1.4,61,6.6,7.9,구름많음/비/안개
160,2018년 06월10일 (일),21.3,24.9,18.3,0.5,-,1.4,60,9.5,1.4,흐림/비
161,2018년 06월11일 (월),20.2,23.9,18,5,-,1.4,67,8.5,3.3,흐림/비/소나기
162,2018년 06월12일 (화),21.3,27.1,16.6,0,-,1.7,66,4.5,12.1,구름조금/비
163,2018년 06월13일 (수),22,27,18.3,0,-,1.4,64,7.4,4.9,구름많음/비/안개
164,2018년 06월14일 (목),21.5,25.1,18.8,29,-,1.1,75,9.5,1.4,흐림/비/안개
165,2018년 06월15일 (금),21.7,27,17.2,16.5,-,1.4,61,6.1,9.8,구름많음/비/천둥번개
166,2018년 06월16일 (토),22.5,28.7,16.3,-,-,1.5,56,0.8,13,맑음
167,2018년 06월17일 (일),22.8,27.5,18.9,-,-,1.4,67,7.8,2.4,구름많음/안개
168,2018년 06월18일 (월),24.8,30.8,19.9,-,-,1.5,55,3.6,12.6,구름조금/안개
169,2018년 06월19일 (화),22.4,27.2,19.1,-,-,1.8,61,8.1,3.1,흐림/안개
170,2018년 06월20일 (수),22.7,28.4,19.1,-,-,2.5,68,5.4,10.2,구름많음/안개
171,2018년 06월21일 (목),23.7,28.7,19.4,-,-,2.1,60,3,12.6,구름조금/안개
172,2018년 06월22일 (금),25,32,18.2,-,-,1.7,45,5.1,12.4,구름많음/안개
173,2018년 06월23일 (토),24.5,28.9,20.9,-,-,1.9,51,8,8.5,흐림/안개
174,2018년 06월24일 (일),25.2,32.1,20.1,-,-,1.9,63,4,11.1,구름조금/안개
175,2018년 06월25일 (월),27.1,32.9,21.3,-,-,1.2,57,7.9,7.8,구름많음/안개
176,2018년 06월26일 (화),22.3,26.9,20.2,71.5,-,2.3,88,10,0,흐림/비/안개
177,2018년 06월27일 (수),22.3,25.5,19.1,1,-,1.9,82,8.8,2.9,흐림/비/안개/이슬비
178,2018년 06월28일 (목),23.3,27.3,20.6,26.5,-,1.2,85,9.5,1.9,흐림/비/소나기/안개/이슬비/천둥번개
179,2018년 06월29일 (금),24.7,29.1,21.9,6.5,-,1.5,79,7.2,8.4,구름많음/비/소나기/안개
180,2018년 06월30일 (토),24.4,27.9,21.6,14.5,-,0.8,84,9.1,0.5,흐림/비/소나기/안개/천둥번개
